,names,spec
834,Zinc,"Powder, using Mo radiation"
835,Hydroxylherderite,Powder
836,Metavariscite,Powder
837,Stellerite,Powder
838,Quartz,Powder
839,Heulandite-Ca,Powder
840,Langbeinite,Powder
841,Topaz,Powder
842,Fluorophlogopite,Powder
843,Chabazite-Ca,Powder
844,Spinel,Powder
845,Betekhtinite,Powder
846,Cookeite,Powder
847,Cavansite,Powder
848,Dolomite,Powder
849,Heulandite-Ca,Powder
850,Lorenzenite,Powder
851,Cassiterite,Powder
852,Levyne-Na,Powder
853,Gratonite,Powder
854,Fluor-buergerite,Powder
855,Delhayelite,Powder
856,Zabuyelite,Powder
857,Hydroxylherderite,Powder
858,Gmelinite-Na,"Powder, mixed with chabazite; a: 13.7815(4) c: 15.0380(7)"
859,Analcime,Powder
860,Zincite,Powder
861,Euxenite-(Y),Powder
862,Artinite,Powder
863,Muscovite,Powder
864,Rhodochrosite,Powder
865,Eudialyte,Powder
866,Natrolite,Powder
867,Realgar,Powder
868,Spessartine,Powder
869,Orpiment,Powder
870,Edingtonite,Powder
871,Libyan Desert glass,"Powder, amorphous"
872,Coronadite,"Powder, cannot refine cell parameters, though search match routines identify this is coronadite"
873,Godovikovite,Powder
874,Foshagite,Powder
875,Coquimbite,Powder
876,Enargite,Powder
877,Wolfeite,Powder
878,Vanadinite,Powder
879,Caryochroite,Powder
880,Baryte,Powder
881,Xenotime-(Y),Powder
882,Bismutite,Powder
883,Brazilianite,Powder
884,Potassic-magnesio-fluoro-arfvedsonite,Powder
885,Adamite,Powder
886,Almandine,Powder
887,Bakerite,Powder
888,Cookeite,Powder
889,Zincite,Powder
890,Uranophane,"Powder, using Mo radiation"
891,Manganite,Powder
892,Tremolite,Powder
893,Tritomite-(Ce),Powder
894,Triplite,Powder
895,Greenockite,Powder
896,Brazilianite,Powder
897,Minium,Powder
898,Bixbyite-(Fe),Powder
899,Natrolite,Powder
900,Celestine,Powder
901,Smithsonite,Powder
902,Anhydrite,Powder
903,Nakauriite,"Powder, using Mo radiation"
904,Natrolite,Powder
905,Wolfeite,Powder
906,Celestine,Powder
907,Aegirine,Powder
908,Spessartine,Powder
909,Livingstonite,Powder
910,Pyrope,Powder
911,Spurrite,Powder
912,Pollucite,Powder
913,Afghanite,Powder
914,Shortite,Powder
915,Laumontite,Powder
916,Ammonioalunite,Powder
917,Grossular,Powder
918,Hydroxylapatite,Powder
919,Schmitterite,"Powder, using Mo radiation"
920,Diopside,Powder
921,Gunningite,"Powder, with minor component of boyleite"
922,Fluorite,Powder
923,Brassite,Powder
924,Decrespignyite-(Y),"Powder, using Mo radiation"
925,Spodumene,Powder
926,Turquoise,Powder
927,Aragonite,Powder
928,Diopside,Powder
929,Bournonite,Powder
930,Liebigite,Powder
931,Magnesite,Powder
932,Ferro-edenite,Powder
933,Diopside,Powder
934,Heterogenite,Powder
935,Manjiroite,Powder
936,Wuyanzhiite,Powder
937,Elbaite,Powder
938,Stibiotantalite,Powder
939,Cassiterite,Powder
940,Albite,Powder
941,Manganilvaite,Powder
942,Bornite,Powder
943,Xenotime-(Y),Powder
944,Schmitterite,"Powder, using Mo radiation"
945,Topaz,Powder
946,Mordenite,Powder
947,Hausmannite,Powder
948,Bukovskyite,"Powder, using Mo radiation"
949,Potassic-fluoro-richterite,Powder
950,Russellite,Powder
951,Glauberite,Powder
952,Renierite,Powder
953,Hopeite,Powder
954,Phosgenite,Powder
955,Diopside,Powder
956,Hydroxylbastnasite-(Ce),Powder
957,Ankerite,Powder
958,Meliphanite,Powder
959,Pollucite,Powder
960,Triplite,Powder
961,Antigorite,Powder
962,Stibnite,Powder
963,Felsobanyaite,"Powder, using Mo radiation"
964,Vivianite,Powder
965,Forsterite,Powder
966,Zoisite,Powder
967,Augite,Powder
968,Quartz,Powder
969,Actinolite,"Powder, additionally shows small amount of chlorite"
970,Magnesiochromite,Powder
971,Wittichenite,Powder
972,Chalcocite,Powder
973,Adamite,Powder
974,Linarite,Powder
975,Gartrellite,"Powder, mixed with quartz"
976,Phosgenite,Powder
977,Vesuvianite,Powder
978,Galena,Powder
979,Schreibersite,Powder
980,Grossular,Powder
981,Tantalite-(Mn),Powder
982,Albite,Powder
983,Bikitaite,"Powder, with quartz (a=4.9248(2), c=5.4110(1), V=113.655(8))"
984,Magnesio-riebeckite,Powder
985,Enstatite,Powder
986,Roeblingite,Powder
987,Orpiment,Powder
988,Miserite,"Powder, mixed with wollastonite and orthoclase"
989,Danburite,Powder
990,Newberyite,Powder
991,Zunyite,Powder
992,Celestine,Powder
993,Tainiolite,Powder
994,Turquoise,Powder
995,Spinel,Powder
996,Johachidolite,Powder
